decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score
71,65,0,10,0,0,440.19924064562616,413.7823485529874,408.90936222210854
72,66,2,10,0,0,440.19924064562616,413.7823485529874,408.90936222210854
73,67,0,9,0,0,470.49924064562623,413.7823485529874,408.90936222210854
74,68,2,9,0,0,460.4793778807279,413.7823485529874,408.90936222210854
75,69,2,9,0,1,415.1096885440413,415.1096885440413,408.90936222210854
76,70,1,9,0,0,442.07664273173833,415.1096885440413,408.90936222210854
77,71,2,9,0,0,466.85805160293336,415.1096885440413,408.90936222210854
78,72,1,8,0,0,442.07664273173833,415.1096885440413,408.90936222210854
79,73,0,9,0,1,415.6096885440413,415.6096885440413,408.90936222210854
80,74,1,10,0,1,415.6096885440413,415.6096885440413,408.90936222210854
81,75,1,10,0,0,433.48206548388515,415.6096885440413,408.90936222210854
82,76,0,10,0,0,423.1823485529875,415.6096885440413,408.90936222210854
83,77,2,8,0,1,415.6096885440413,415.6096885440413,408.90936222210854
84,78,2,8,0,0,442.57664273173833,415.6096885440413,408.90936222210854
85,79,1,9,0,0,442.57664273173833,415.6096885440413,408.90936222210854
86,80,1,9,0,0,487.36679222656676,415.6096885440413,408.90936222210854
87,81,2,9,0,0,427.53258811856034,415.6096885440413,408.90936222210854
88,82,2,8,0,1,415.7096885440413,415.7096885440413,408.90936222210854
89,83,1,8,0,1,415.1096885440413,415.1096885440413,408.90936222210854
90,84,2,10,0,0,432.82487193568056,415.1096885440413,408.90936222210854
91,85,0,10,0,1,411.80234072559716,411.80234072559716,408.90936222210854
92,86,0,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
93,87,1,10,0,0,430.80234072559716,411.80234072559716,408.90936222210854
94,87,1,9,1,0,,411.80234072559716,408.90936222210854
95,88,0,10,0,1,413.6469499387873,413.6469499387873,408.90936222210854
96,89,1,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
97,89,2,8,1,0,,411.80234072559716,408.90936222210854
98,90,2,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
99,91,1,9,0,0,431.7625341895714,411.80234072559716,408.90936222210854
100,92,2,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
101,93,1,10,0,0,430.6023407255972,411.80234072559716,408.90936222210854
102,94,1,7,0,0,539.8952582166123,411.80234072559716,408.90936222210854
103,95,0,10,0,0,428.60234072559723,411.80234072559716,408.90936222210854
104,96,0,8,0,0,429.84786895976157,411.80234072559716,408.90936222210854
105,97,0,10,0,1,411.80234072559716,411.80234072559716,408.90936222210854
106,98,2,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
107,99,1,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
108,100,0,8,0,0,414.2432631572702,411.80234072559716,408.90936222210854
109,101,1,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
110,101,1,7,1,0,,411.80234072559716,408.90936222210854
111,102,1,10,0,0,414.2432631572702,411.80234072559716,408.90936222210854
112,103,1,8,0,0,413.00234072559715,411.80234072559716,408.90936222210854
113,104,2,9,0,0,444.25876159805966,411.80234072559716,408.90936222210854
114,105,0,10,0,0,440.31737227066435,411.80234072559716,408.90936222210854
115,106,2,8,0,0,449.9508569187488,411.80234072559716,408.90936222210854
116,107,0,8,0,0,438.20234072559725,411.80234072559716,408.90936222210854
117,108,0,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
118,109,2,8,0,0,449.9508569187488,411.80234072559716,408.90936222210854
119,110,2,9,0,0,426.8023407255973,411.80234072559716,408.90936222210854
120,111,0,10,0,1,411.80234072559716,411.80234072559716,408.90936222210854
121,111,0,10,1,0,,411.80234072559716,408.90936222210854
122,112,0,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
123,113,2,10,0,0,438.7023407255972,411.80234072559716,408.90936222210854
124,114,2,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
125,114,1,10,1,0,,411.80234072559716,408.90936222210854
126,115,2,8,0,0,413.5023407255972,411.80234072559716,408.90936222210854
127,116,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
128,117,0,10,0,0,463.17471865325075,411.80234072559716,408.90936222210854
129,117,0,10,1,0,,411.80234072559716,408.90936222210854
130,118,2,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
131,119,2,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
132,120,1,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
133,121,0,10,0,0,416.26068914771287,411.80234072559716,408.90936222210854
134,122,0,7,0,0,441.1766427317383,411.80234072559716,408.90936222210854
135,123,1,10,0,0,439.9166849373491,411.80234072559716,408.90936222210854
136,124,2,9,0,0,463.17471865325075,411.80234072559716,408.90936222210854
137,125,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
138,126,2,11,0,0,424.7291430499926,411.80234072559716,408.90936222210854
139,127,2,8,0,0,441.1766427317383,411.80234072559716,408.90936222210854
140,128,0,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
141,129,0,8,0,1,411.80234072559716,411.80234072559716,408.90936222210854
142,130,1,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
143,131,2,9,0,0,449.9508569187488,411.80234072559716,408.90936222210854
144,132,2,9,0,0,459.279377880728,411.80234072559716,408.90936222210854
145,132,2,9,1,0,,411.80234072559716,408.90936222210854
146,133,1,9,0,0,430.70234072559714,411.80234072559716,408.90936222210854
147,134,0,8,0,0,425.6981458898505,411.80234072559716,408.90936222210854
148,135,0,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
149,136,2,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
150,137,0,10,0,1,411.9023407255972,411.9023407255972,408.90936222210854
151,138,2,10,0,0,539.8952582166123,411.9023407255972,408.90936222210854
152,139,2,9,0,1,411.80234072559716,411.80234072559716,408.90936222210854
153,140,1,9,0,0,441.1766427317383,411.80234072559716,408.90936222210854
154,141,2,10,0,0,441.1766427317383,411.80234072559716,408.90936222210854
