decision,evaluated,operator,q,accepted,candidate_score,current_score,best_score
243,219,1,12,1,376.59999999999997,376.59999999999997,367.20000000000005
244,220,0,10,1,377.0999999999999,377.0999999999999,367.20000000000005
245,221,1,11,1,379.2310024451636,379.2310024451636,367.20000000000005
246,222,1,9,1,377.49999999999994,377.49999999999994,367.20000000000005
247,223,1,11,0,378.19999999999993,377.49999999999994,367.20000000000005
248,224,2,8,1,377.09999999999997,377.09999999999997,367.20000000000005
249,225,0,9,1,377.09999999999997,377.09999999999997,367.20000000000005
250,226,1,10,1,377.09999999999997,377.09999999999997,367.20000000000005
251,227,1,12,1,376.49999999999994,376.49999999999994,367.20000000000005
252,228,1,11,0,386.11268245376664,376.49999999999994,367.20000000000005
253,229,0,10,0,376.9999999999999,376.49999999999994,367.20000000000005
255,230,2,11,0,385.8999999999999,376.49999999999994,367.20000000000005
258,231,0,10,0,378.4,376.49999999999994,367.20000000000005
260,232,2,9,1,376.49999999999994,376.49999999999994,367.20000000000005
261,233,0,12,1,376.49999999999994,376.49999999999994,367.20000000000005
265,234,0,10,0,377.2,376.49999999999994,367.20000000000005
266,235,0,8,1,376.7,376.7,367.20000000000005
267,236,1,9,1,376.49999999999994,376.49999999999994,367.20000000000005
268,237,1,9,0,386.11268245376664,376.49999999999994,367.20000000000005
269,238,2,10,0,386.11268245376664,376.49999999999994,367.20000000000005
271,239,1,11,1,376.49999999999994,376.49999999999994,367.20000000000005
272,240,0,11,0,394.6,376.49999999999994,367.20000000000005
273,241,1,11,1,377.4,377.4,367.20000000000005
274,242,1,9,1,376.49999999999994,376.49999999999994,367.20000000000005
275,243,1,12,0,377.5999999999999,376.49999999999994,367.20000000000005
276,244,0,12,0,381.1310024451635,376.49999999999994,367.20000000000005
277,245,2,12,1,376.7,376.7,367.20000000000005
278,246,1,10,1,377.0,377.0,367.20000000000005
279,247,1,10,1,376.7,376.7,367.20000000000005
281,248,2,9,1,376.19999999999993,376.19999999999993,367.20000000000005
282,249,2,9,1,375.69999999999993,375.69999999999993,367.20000000000005
283,250,2,9,1,375.69999999999993,375.69999999999993,367.20000000000005
