scenario_id,OR-Tools,ALNS-Mean,ALNS-CVaR
152,4.4013991073351235,0.6995264743358689,0.0
153,0.34630793563991347,2.0981826824383347,0.0
154,0.0,2.200581130542446,0.0
155,32.80870982058653,29.097974004508103,1.2368482661341886
156,13.391916758298123,0.30542573721243116,0.0
157,31.292878280610637,1.5643869240624895,18.19862818606876
158,16.824753345305254,2.521657577826204,0.0
159,8.302762749921783,0.222433166790438,0.0
160,4.223232757142398,0.0,0.0
161,9.372107196958666,1.0052570942206671,8.069117808278179
162,21.62478356782674,8.8735060798966,0.0
163,15.480178067172403,2.188746577030429,0.0
164,73.66449967348018,68.7285157592924,9.978159027506877
165,8.317272751948508,0.0,0.0
166,59.65066402300533,2.965034045939035,0.0
167,15.774990586996068,0.5431953635327886,3.6985485608885824
168,38.93052803992995,21.551449978409977,25.71741246708558
169,1.383406068028819,0.6921154249448023,0.0
170,12.101774349570633,1.5558667613686907,0.0
171,6.671305787801259,11.10285541651632,0.0
172,22.21058928586268,6.360347471346017,15.29049909445564
173,27.140413572263753,1.9359779387453386,0.0
174,1.6196840361427007,0.5762966852913962,0.0
175,7.159295416237114,0.0,0.0
176,43.99808455866912,22.59876388973842,9.692143448032482
177,3.3105834165629062,1.436746973753202,0.0
178,6.728619892620429,0.0,0.0
179,12.72912041512052,1.425968851318828,0.0
180,47.77468490698527,9.680260744990875,9.515099300048831
181,3.0658895485377684,0.511976357622018,0.0
182,14.73363253130941,4.837769655236116,0.0
183,0.5383545967306418,0.0,0.0
184,30.51857463855046,24.752154626651333,0.0
185,14.04183911055685,1.3788845849377651,0.0
186,12.657845183569123,3.9271609625646704,0.0
187,1.6670695048380821,0.6811627514163661,0.0
188,0.0,3.7530620783240067,0.0
189,14.640026135813912,1.8646203177619611,0.0
190,0.3744271891389417,0.566481974101464,0.0
191,8.001596745813515,3.8209792731790344,0.0
192,8.2639280933642,0.0,0.0
193,2.6794249231454614,0.0,0.0
194,3.9990160064161273,0.0,0.0
195,9.850650963850057,3.355303356157748,0.0
196,15.422057145760732,12.28550198730349,0.0
197,9.482701103322825,6.759486107769646,0.0
198,8.681968426881895,0.0,0.0
199,18.224246063712485,1.4404991424094078,0.0
200,3.1756440123431275,0.0,0.0
201,26.56703698750175,1.2044913898092204,0.0
202,9.060953207076409,0.019690934922493852,0.0
203,8.106659407326617,2.0589780350898366,0.0
204,28.291457548857522,8.009853733061902,9.532028351098859
205,1.9593823128537338,0.0,0.0
206,9.278622243247355,6.407638479949753,0.0
207,2.3643850946490375,0.23006192691877914,0.0
208,43.19030663778659,23.999892997321922,0.0
209,17.676471168804994,0.0,1.291826666400084
210,3.32489789089675,1.6702376318631593,0.0
211,26.878294809607326,26.29584986158494,12.795817543156545
212,9.164258119479769,3.9428983747743303,0.0
213,39.038550071496104,1.1195706708044213,2.1767978695155534
214,24.939099532626074,15.244066593011212,7.258098308604019
215,13.127462696307134,2.51072613857977,0.0
216,13.154561836076482,1.617765556868278,1.05814241205195
217,12.00010638262114,8.003988433255358,0.0
218,7.051341789732248,0.16385247862848473,0.0
