replicate,eta,method,seed_search,seed_test,seed_algorithm,event_mu,event_beta,event_eta,kappa,distance_km,nominal_tardiness_min,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,route_sampled_multiplier_mean,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,external_wall_s
3,0.0,OR-Tools,243001,244001,0,0.0153846153846153,0.6,0.0,0.6952662379115702,367.2000000000001,0.0,13.661293589602543,15.074775636232886,40.93734734273232,60.8748962664698,0.971948717948718,7.189765803622928,0.0703614725849242,0.8997624825766252,1.0489199563380385,394.5225871792051,488.9497925329396,0,0,0,0,0.0,0.0
3,0.0,ALNS-Mean,243001,244001,252001,0.0153846153846153,0.6,0.0,0.6952662379115702,369.5999999999999,0.0,0.2489259969944938,0.8365870231519829,1.630677441899536,3.0544435453788203,0.997051282051282,0.2413943393827152,0.0698655751282402,0.901112268721859,1.0485751755789396,370.0978519939889,375.7088870907576,25100,250,297,47,33.37255604099846,33.4190375420003
3,0.0,ALNS-CVaR,243001,244001,253001,0.0153846153846153,0.6,0.0,0.6952662379115702,374.0,0.0,0.1870004072989786,1.0572432506245892,0.4359116593436454,3.6837495213192466,0.998897435897436,0.1575302096250699,0.0696985702317416,0.902025228034203,1.0484590627128385,374.37400081459793,381.3674990426385,25100,250,269,19,29.002621500003443,29.04600295800265
3,0.35,OR-Tools,243001,244001,0,0.01,0.6,0.35,0.9,367.2000000000001,0.0,14.243471462241365,18.27804875340066,46.82323879287719,73.27884315714614,0.971897435897436,7.206685842465124,0.0519383449922475,0.8603795102604309,1.0467445104930229,395.6869429244827,513.7576863142923,0,0,0,0,0.0,0.0
3,0.35,ALNS-Mean,243001,244001,252001,0.01,0.6,0.35,0.9,375.99999999999994,0.0,0.6679555126916812,2.3769801717682295,3.725605856297989,8.640926354244769,0.9959615384615386,0.5749655008173411,0.0513455056314343,0.8545159287602737,1.046210955068291,377.3359110253833,393.2818527084895,25100,250,308,58,35.62172191600257,35.664753583001584
3,0.35,ALNS-CVaR,243001,244001,253001,0.01,0.6,0.35,0.9,384.20000000000016,0.0,0.1223871859289765,0.7035624473916203,0.0,2.447743718579531,0.999448717948718,0.1223080121598866,0.0508160912608306,0.8550103381114877,1.0457344821347476,384.4447743718581,389.0954874371593,25100,250,260,10,25.366596291998576,25.407968749997963
3,0.7,OR-Tools,243001,244001,0,0.0046153846153846,0.6,0.7,1.481574841841101,367.2000000000001,0.0,17.400320142482908,25.71156078963876,74.7067585447634,107.57275442609956,0.9705,7.958146857259746,0.0295284273328362,0.6666258566356816,1.0437485750554634,402.0006402849658,582.3455088521991,0,0,0,0,0.0,0.0
3,0.7,ALNS-Mean,243001,244001,252001,0.0046153846153846,0.6,0.7,1.481574841841101,376.69999999999993,0.0,1.104981267277446,6.260739326255973,5.4072402643907935,19.80336921251117,0.9979871794871794,0.8073793767418155,0.0295240866860603,0.6611688831348073,1.0437421440624028,378.9099625345549,416.3067384250223,25100,250,297,47,31.499135000001843,31.536469582999416
3,0.7,ALNS-CVaR,243001,244001,253001,0.0046153846153846,0.6,0.7,1.481574841841101,372.8999999999998,0.0,0.2954443136495041,1.7729627249480244,0.8470451553256169,5.811396877492203,0.999025641025641,0.2594791571580205,0.0296402855045257,0.670682591102443,1.0439143013084928,373.4908886272988,384.5227937549842,25100,250,285,35,30.583461624999472,30.61955875000058
4,0.0,OR-Tools,343001,344001,0,0.0153846153846153,0.6,0.0,0.6952662379115702,367.2000000000001,0.0,13.491325308619796,15.335211552027303,44.11665402314614,62.68087999667756,0.972397435897436,7.031774237304888,0.0690666639720201,0.8923153099280137,1.048019719624929,394.1826506172396,492.5617599933552,0,0,0,0,0.0,0.0
4,0.0,ALNS-Mean,343001,344001,352001,0.0153846153846153,0.6,0.0,0.6952662379115702,369.8999999999998,0.0,2.208926877966058,5.089479697218308,11.016412524298516,18.711721054584235,0.9915897435897436,1.8040230833221644,0.0693318004423342,0.896928316609629,1.0482040600611775,374.31785375593194,407.3234421091683,25100,250,302,52,36.09388333300012,36.13902991699797
4,0.0,ALNS-CVaR,343001,344001,353001,0.0153846153846153,0.6,0.0,0.6952662379115702,380.7999999999999,0.0,0.7896755323564837,2.81592850098932,5.132755384566337,11.172888691685069,0.997551282051282,0.7365635626211363,0.0696458862073253,0.8933288507740288,1.0484224332893843,382.37935106471286,403.1457773833701,25100,250,261,11,27.688838624999335,27.731323957999848
4,0.35,OR-Tools,343001,344001,0,0.01,0.6,0.35,0.9,367.2000000000001,0.0,13.891975591556442,16.980699603504153,44.655555502362915,68.09898612437074,0.9721794871794872,7.212521310415022,0.0533020499840065,0.8644573158193845,1.047971844985606,394.98395118311294,503.3979722487415,0,0,0,0,0.0,0.0
4,0.35,ALNS-Mean,343001,344001,352001,0.01,0.6,0.35,0.9,369.3999999999998,0.0,1.4178978504075994,3.974417470491185,7.616047520450309,13.676210440247992,0.9935,1.1998837042758197,0.0541722158405714,0.8655665063196626,1.0487549942565142,372.235795700815,396.7524208804958,25100,250,319,69,37.957709334001265,37.99943366700245
4,0.35,ALNS-CVaR,343001,344001,353001,0.01,0.6,0.35,0.9,375.19999999999993,0.0,0.1169221655725416,0.7874435898323017,0.0,2.3384433114508325,0.999371794871795,0.1169221655725416,0.0542880993896912,0.8690323766864351,1.0488592894507225,375.433844331145,379.8768866229016,25100,250,279,29,30.02419912500045,30.064194792001217
4,0.7,OR-Tools,343001,344001,0,0.0046153846153846,0.6,0.7,1.481574841841101,367.2000000000001,0.0,16.53300791876021,27.617707535988536,61.50142668130283,113.66066054121946,0.9714871794871796,7.665887866898236,0.0303610399007602,0.675279186958385,1.0449821528891,400.26601583752046,594.5213210824389,0,0,0,0,0.0,0.0
4,0.7,ALNS-Mean,343001,344001,352001,0.0046153846153846,0.6,0.7,1.481574841841101,369.49999999999994,0.0,2.127125580554803,5.469622395983878,12.49385157531418,21.14739532245803,0.9938717948717948,1.7318466845813227,0.0305852325071081,0.6802523907864121,1.045314311014392,373.7542511611095,411.794790644916,25100,250,322,72,37.07516420799948,37.11113270900023
4,0.7,ALNS-CVaR,343001,344001,353001,0.0046153846153846,0.6,0.7,1.481574841841101,371.9999999999999,0.0,0.7690235420205241,2.9096081269108525,5.568442239416527,10.930431155825609,0.996705128205128,0.7073850312543718,0.0301829731422433,0.6760719906106172,1.0447183336595134,373.53804708404095,393.8608623116511,25100,250,301,51,34.86101733299802,34.89622408300056
5,0.0,OR-Tools,443001,444001,0,0.0153846153846153,0.6,0.0,0.6952662379115702,367.2000000000001,0.0,13.974228085140622,16.284564440223477,44.96243567224536,66.62512396581502,0.9721923076923076,7.248300652596441,0.0698790879621215,0.9018629176938988,1.048584570596116,395.1484561702813,500.4502479316301,0,0,0,0,0.0,0.0
5,0.0,ALNS-Mean,443001,444001,452001,0.0153846153846153,0.6,0.0,0.6952662379115702,372.4999999999999,0.0,0.2382752586908462,1.3549418139096616,1.0329178129363754,4.587956591989722,0.999025641025641,0.2299070492616251,0.0697910627323301,0.8997968870845223,1.0485233696257577,372.9765505173815,381.67591318397933,25100,250,271,21,31.168229750001046,31.21463075000065
5,0.0,ALNS-CVaR,443001,444001,453001,0.0153846153846153,0.6,0.0,0.6952662379115702,372.9999999999999,0.0,0.3085372199833291,1.2365965595938735,1.9107035692657064,4.206328562085543,0.997025641025641,0.2977395955505745,0.070238784668094,0.901471888866006,1.0488346555716666,373.6170744399666,381.41265712417095,25100,250,303,53,36.50615870799811,36.55537375000131
5,0.35,OR-Tools,443001,444001,0,0.01,0.6,0.35,0.9,367.2000000000001,0.0,14.378244016650733,17.743609211517395,47.54672832967787,71.64628755794557,0.9715512820512822,7.270385742332595,0.0522575725220789,0.8554152489417208,1.047031815269871,395.9564880333015,510.4925751158912,0,0,0,0,0.0,0.0
