run_id,day,replicate,path_index,status,dddas_wall_seconds,recourse_attempts,decision_cap_terminations
D07_R02_P006,7,2,6,completed,8.374575541995,4,1
D07_R02_P007,7,2,7,completed,5.226834500033874,3,2
D07_R02_P008,7,2,8,completed,0.0008068750030361116,0,0
D07_R02_P009,7,2,9,completed,11.483023040986154,8,2
D07_R02_P010,7,2,10,completed,4.833611708017997,4,0
D07_R02_P011,7,2,11,completed,3.468575041042641,2,0
D07_R02_P012,7,2,12,completed,0.6747514580492862,1,0
D07_R02_P013,7,2,13,completed,3.242303291975986,2,0
D07_R02_P014,7,2,14,completed,1.6534302920335904,1,1
D07_R02_P015,7,2,15,completed,13.986598625022452,7,3
D07_R02_P016,7,2,16,completed,17.406964374997187,6,4
D07_R02_P017,7,2,17,completed,2.763714041968342,2,1
D07_R02_P018,7,2,18,completed,2.762575457978528,1,1
D07_R02_P019,7,2,19,completed,4.481971458997577,2,1
D07_R02_P020,7,2,20,completed,2.5272752920282073,1,0
D07_R03_P001,7,3,1,completed,2.1836234999937005,1,0
D07_R03_P002,7,3,2,completed,18.780950082989875,5,2
D07_R03_P003,7,3,3,completed,2.6917144999606535,2,0
D07_R03_P004,7,3,4,completed,14.319332165992819,5,2
D07_R03_P005,7,3,5,completed,15.160561750002671,5,0
D07_R03_P006,7,3,6,completed,7.189456667052582,3,0
D07_R03_P007,7,3,7,completed,3.147946083045099,2,1
D07_R03_P008,7,3,8,completed,0.0007907500257715583,0,0
D07_R03_P009,7,3,9,completed,10.659912832954433,6,2
D07_R03_P010,7,3,10,completed,4.937646957987454,4,0
D07_R03_P011,7,3,11,completed,3.205925250018481,2,1
D07_R03_P012,7,3,12,completed,17.014558249968104,4,2
D07_R03_P013,7,3,13,completed,0.0008032500045374036,0,0
D07_R03_P014,7,3,14,completed,1.4894127079751343,1,0
D07_R03_P015,7,3,15,completed,9.244617083051708,5,3
D07_R03_P016,7,3,16,completed,14.37560587504413,6,1
D07_R03_P017,7,3,17,completed,0.000588166993111372,0,0
D07_R03_P018,7,3,18,completed,2.5503048750106245,1,0
D07_R03_P019,7,3,19,completed,4.362120958976448,2,1
D07_R03_P020,7,3,20,completed,6.759266250010114,4,1
