decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
170,118,1,8,0,0,431.81089283975507,422.5303728494684,458.7121055370725
171,118,2,7,1,0,431.81089283975507,422.5303728494684,
172,119,0,7,0,1,431.1720188334933,422.5303728494684,431.1720188334933
173,120,2,7,0,0,431.1720188334933,422.5303728494684,437.8640444074597
174,121,0,8,0,0,431.1720188334933,422.5303728494684,462.065489264769
175,122,1,7,0,0,431.1720188334933,422.5303728494684,458.4317049445438
176,122,0,9,1,0,431.1720188334933,422.5303728494684,
177,123,1,7,0,0,431.1720188334933,422.5303728494684,437.8640444074597
178,124,2,7,0,0,431.1720188334933,422.5303728494684,442.4487798141527
179,125,1,9,0,0,431.1720188334933,422.5303728494684,465.1237305185102
180,126,1,9,0,0,431.1720188334933,422.5303728494684,458.4317049445438
181,127,1,9,0,0,431.1720188334933,422.5303728494684,441.016415435669
182,128,2,10,0,1,433.4720188334934,422.5303728494684,433.4720188334934
183,129,2,7,0,0,433.4720188334934,422.5303728494684,438.988234810097
184,130,2,9,0,1,431.1720188334933,422.5303728494684,431.1720188334933
185,130,0,8,1,0,431.1720188334933,422.5303728494684,
186,130,0,7,1,0,431.1720188334933,422.5303728494684,
187,131,2,7,0,0,431.1720188334933,422.5303728494684,437.8640444074597
188,132,1,10,0,0,431.1720188334933,422.5303728494684,465.1237305185102
189,132,0,8,1,0,431.1720188334933,422.5303728494684,
190,133,0,9,0,0,431.1720188334933,422.5303728494684,437.8640444074597
191,134,0,8,0,0,431.1720188334933,422.5303728494684,457.4995931254923
192,134,0,8,1,0,431.1720188334933,422.5303728494684,
193,135,1,8,0,0,431.1720188334933,422.5303728494684,441.016415435669
194,136,2,8,0,0,431.1720188334933,422.5303728494684,437.8640444074597
195,137,0,10,0,0,431.1720188334933,422.5303728494684,442.4487798141527
196,138,2,9,0,0,431.1720188334933,422.5303728494684,439.22094722259243
197,139,1,7,0,0,431.1720188334933,422.5303728494684,437.8640444074597
198,140,2,7,0,0,431.1720188334933,422.5303728494684,435.5693737914217
199,141,2,10,0,1,430.688234810097,422.5303728494684,430.688234810097
200,142,1,7,0,0,430.688234810097,422.5303728494684,457.9479209211475
201,143,1,9,0,1,427.7322652905983,422.5303728494684,427.7322652905983
202,143,1,8,1,0,427.7322652905983,422.5303728494684,
203,143,2,7,1,0,427.7322652905983,422.5303728494684,
204,144,2,8,0,0,427.7322652905983,422.5303728494684,431.13716319919604
205,145,2,9,0,1,428.1648890448821,422.5303728494684,428.1648890448821
206,146,0,9,0,0,428.1648890448821,422.5303728494684,446.37059308850064
207,147,2,7,0,0,428.1648890448821,422.5303728494684,517.2489432362777
208,147,0,8,1,0,428.1648890448821,422.5303728494684,
209,148,2,9,0,0,428.1648890448821,422.5303728494684,432.388234810097
210,149,2,9,0,1,427.7322652905983,422.5303728494684,427.7322652905983
211,150,2,9,0,0,427.7322652905983,422.5303728494684,431.13716319919604
212,151,2,7,0,0,427.7322652905983,422.5303728494684,431.13716319919604
213,152,2,9,0,0,427.7322652905983,422.5303728494684,438.31297279655877
214,153,0,8,0,1,428.1648890448821,422.5303728494684,428.1648890448821
215,154,2,7,0,0,428.1648890448821,422.5303728494684,435.3406986422448
216,155,0,8,0,1,427.9648890448821,422.5303728494684,427.9648890448821
217,156,1,9,0,0,427.9648890448821,422.5303728494684,493.2174505171239
218,157,1,8,0,0,427.9648890448821,422.5303728494684,431.13716319919604
