decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
73,60,1,9,0,0,396.94141590161166,389.3414159016117,374.64879271711806,1.2715151515151515,1.102857142857143,1.422857142857143
74,61,1,8,0,0,390.0414159016117,389.3414159016117,374.64879271711806,1.2715151515151515,1.102857142857143,1.422857142857143
75,62,2,10,0,0,393.0168211778071,389.3414159016117,374.64879271711806,1.2715151515151515,1.102857142857143,1.422857142857143
76,63,0,11,0,0,393.5245655536297,389.3414159016117,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
77,64,2,10,0,1,389.16857689259814,389.16857689259814,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
78,64,1,9,1,0,,389.16857689259814,374.64879271711806,,,
79,65,0,11,0,0,393.6595371613318,389.16857689259814,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
80,66,0,10,0,1,395.0602159732655,395.0602159732655,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
81,67,0,11,0,0,407.5204823533417,395.0602159732655,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
82,68,1,12,0,1,390.08885926763764,390.08885926763764,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
83,69,2,9,0,1,384.2643002474411,384.2643002474411,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
84,69,0,10,1,0,,384.2643002474411,374.64879271711806,,,
85,70,2,10,0,0,392.7880280048496,384.2643002474411,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
86,70,0,11,1,0,,384.2643002474411,374.64879271711806,,,
87,71,1,10,0,1,384.56913143749983,384.56913143749983,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
88,72,2,9,0,0,399.8088765191514,384.56913143749983,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
89,73,0,11,0,0,464.46768947128965,384.56913143749983,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
90,74,2,9,0,1,389.2770138925779,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
91,75,0,12,0,0,396.7364228761024,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
92,76,0,9,0,0,409.44683712206637,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
93,77,2,11,0,0,398.29829585365127,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
94,78,1,12,0,0,472.03854775711557,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
95,79,1,9,0,0,474.38764507477265,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
96,80,2,9,0,0,393.7535377145902,389.2770138925779,374.64879271711806,1.5505454545454547,1.0976703296703298,1.2716190476190479
