decision,evaluated,operator,q,accepted,candidate_score,current_score,best_score
161,140,0,11,1,373.3,373.3,367.20000000000005
162,141,1,12,0,380.8,373.3,367.20000000000005
163,142,2,11,1,372.20000000000005,372.20000000000005,367.20000000000005
164,143,1,10,0,381.3,372.20000000000005,367.20000000000005
165,144,2,11,1,372.20000000000005,372.20000000000005,367.20000000000005
166,145,2,12,0,376.50000000000006,372.20000000000005,367.20000000000005
168,146,0,9,1,371.9,371.9,367.20000000000005
170,147,1,10,1,371.9,371.9,367.20000000000005
171,148,0,10,0,418.1,371.9,367.20000000000005
173,149,2,9,0,386.09999999999997,371.9,367.20000000000005
174,150,1,11,0,381.90000000000003,371.9,367.20000000000005
175,151,2,9,1,371.9,371.9,367.20000000000005
176,152,0,10,1,372.20000000000005,372.20000000000005,367.20000000000005
177,153,2,12,1,372.3,372.3,367.20000000000005
178,154,2,9,1,372.3,372.3,367.20000000000005
179,155,2,8,1,371.99999999999994,371.99999999999994,367.20000000000005
180,156,2,11,0,376.29999999999995,371.99999999999994,367.20000000000005
181,157,2,12,1,371.2999999999999,371.2999999999999,367.20000000000005
182,158,2,12,1,372.2999999999999,372.2999999999999,367.20000000000005
183,159,2,10,0,375.6999999999999,372.2999999999999,367.20000000000005
184,160,1,10,0,397.3794290727576,372.2999999999999,367.20000000000005
185,161,1,11,0,385.0999999999999,372.2999999999999,367.20000000000005
186,162,1,12,0,373.6794290727576,372.2999999999999,367.20000000000005
187,163,1,12,0,374.79999999999995,372.2999999999999,367.20000000000005
189,164,2,10,1,369.99999999999994,369.99999999999994,367.20000000000005
190,165,2,12,1,369.99999999999994,369.99999999999994,367.20000000000005
191,166,0,9,1,369.49999999999994,369.49999999999994,367.20000000000005
192,167,2,10,0,374.41377554704377,369.49999999999994,367.20000000000005
193,168,1,9,1,367.99999999999994,367.99999999999994,367.20000000000005
194,169,0,11,1,367.79999999999995,367.79999999999995,367.20000000000005
195,170,2,10,1,367.69999999999993,367.69999999999993,367.20000000000005
196,171,1,10,1,366.8999999999999,366.8999999999999,366.8999999999999
197,172,0,10,1,368.5999999999999,368.5999999999999,366.8999999999999
198,173,2,12,1,372.0999999999999,372.0999999999999,366.8999999999999
199,174,2,10,1,371.89999999999986,371.89999999999986,366.8999999999999
200,175,1,10,1,372.8999999999999,372.8999999999999,366.8999999999999
201,176,1,11,0,397.96574359878963,372.8999999999999,366.8999999999999
202,177,2,11,0,373.79999999999984,372.8999999999999,366.8999999999999
203,178,1,8,0,377.8108602376944,372.8999999999999,366.8999999999999
204,179,1,9,1,372.5999999999999,372.5999999999999,366.8999999999999
205,180,0,12,0,376.37632371277783,372.5999999999999,366.8999999999999
206,181,1,9,1,371.7999999999999,371.7999999999999,366.8999999999999
207,182,2,10,1,371.69999999999993,371.69999999999993,366.8999999999999
208,183,0,12,0,375.69999999999993,371.69999999999993,366.8999999999999
209,184,2,11,0,392.1954366819074,371.69999999999993,366.8999999999999
210,185,2,12,1,373.19999999999993,373.19999999999993,366.8999999999999
212,186,2,9,0,380.03100244516355,373.19999999999993,366.8999999999999
213,187,0,12,1,371.4999999999999,371.4999999999999,366.8999999999999
214,188,1,10,0,373.19999999999993,371.4999999999999,366.8999999999999
216,189,2,11,1,372.0999999999999,372.0999999999999,366.8999999999999
217,190,0,11,1,371.4999999999999,371.4999999999999,366.8999999999999
218,191,1,10,1,370.9999999999999,370.9999999999999,366.8999999999999
219,192,0,10,1,371.89999999999986,371.89999999999986,366.8999999999999
220,193,2,10,1,370.9999999999999,370.9999999999999,366.8999999999999
221,194,0,10,1,371.19999999999993,371.19999999999993,366.8999999999999
222,195,2,9,1,370.9999999999999,370.9999999999999,366.8999999999999
224,196,0,12,0,377.49999999999994,370.9999999999999,366.8999999999999
225,197,1,11,0,400.79999999999995,370.9999999999999,366.8999999999999
227,198,0,12,0,377.6999999999999,370.9999999999999,366.8999999999999
230,199,2,11,0,385.7999999999998,370.9999999999999,366.8999999999999
232,200,2,11,1,366.8999999999999,366.8999999999999,366.8999999999999
235,201,0,12,0,390.4999999999999,366.8999999999999,366.8999999999999
238,202,1,9,0,369.5999999999999,366.8999999999999,366.8999999999999
239,203,0,12,0,371.0091012744914,366.8999999999999,366.8999999999999
240,204,1,10,0,372.6954366819074,366.8999999999999,366.8999999999999
243,205,1,11,0,372.6954366819074,366.8999999999999,366.8999999999999
244,206,2,12,1,367.69999999999993,367.69999999999993,366.8999999999999
245,207,1,9,1,372.6954366819074,372.6954366819074,366.8999999999999
246,208,1,9,0,410.9999999999999,372.6954366819074,366.8999999999999
247,209,1,11,1,366.8999999999999,366.8999999999999,366.8999999999999
249,210,0,9,1,367.4999999999999,367.4999999999999,366.8999999999999
250,211,1,9,0,374.8186700227197,367.4999999999999,366.8999999999999
251,212,2,10,1,366.8999999999999,366.8999999999999,366.8999999999999
258,213,2,12,0,372.6954366819074,366.8999999999999,366.8999999999999
259,214,1,11,1,367.49999999999994,367.49999999999994,366.8999999999999
260,215,1,10,0,370.33100244516356,367.49999999999994,366.8999999999999
261,216,1,10,1,367.3999999999999,367.3999999999999,366.8999999999999
263,217,0,10,1,368.19999999999993,368.19999999999993,366.8999999999999
264,218,1,10,1,368.09999999999997,368.09999999999997,366.8999999999999
265,219,0,9,1,366.8999999999999,366.8999999999999,366.8999999999999
266,220,2,9,0,372.6954366819074,366.8999999999999,366.8999999999999
267,221,2,11,1,367.4999999999999,367.4999999999999,366.8999999999999
270,222,0,10,1,366.8999999999999,366.8999999999999,366.8999999999999
273,223,0,11,0,370.39999999999986,366.8999999999999,366.8999999999999
274,224,2,12,1,367.0999999999999,367.0999999999999,366.8999999999999
275,225,1,10,0,372.1999999999999,367.0999999999999,366.8999999999999
277,226,0,11,1,368.3999999999999,368.3999999999999,366.8999999999999
278,227,2,9,0,372.89543668190737,368.3999999999999,366.8999999999999
279,228,0,12,1,368.19999999999993,368.19999999999993,366.8999999999999
280,229,2,10,1,367.8999999999999,367.8999999999999,366.8999999999999
281,230,0,12,1,367.3999999999999,367.3999999999999,366.8999999999999
282,231,0,10,0,372.99999999999994,367.3999999999999,366.8999999999999
283,232,2,11,0,368.19999999999993,367.3999999999999,366.8999999999999
285,233,1,11,1,369.3999999999999,369.3999999999999,366.8999999999999
286,234,1,9,1,367.69999999999993,367.69999999999993,366.8999999999999
287,235,2,9,1,367.3999999999999,367.3999999999999,366.8999999999999
289,236,2,12,0,391.59999999999985,367.3999999999999,366.8999999999999
290,237,2,10,0,382.79999999999995,367.3999999999999,366.8999999999999
291,238,0,10,1,367.29999999999995,367.29999999999995,366.8999999999999
292,239,0,10,1,366.8999999999999,366.8999999999999,366.8999999999999
293,240,2,9,0,371.19999999999993,366.8999999999999,366.8999999999999
297,241,0,11,0,367.69999999999993,366.8999999999999,366.8999999999999
300,242,2,9,0,370.19999999999993,366.8999999999999,366.8999999999999
301,243,2,9,0,381.4999999999999,366.8999999999999,366.8999999999999
303,244,1,9,0,368.8999999999999,366.8999999999999,366.8999999999999
304,245,2,11,0,372.6954366819074,366.8999999999999,366.8999999999999
306,246,2,11,0,382.39999999999986,366.8999999999999,366.8999999999999
307,247,0,9,0,367.69999999999993,366.8999999999999,366.8999999999999
309,248,0,11,1,367.4999999999999,367.4999999999999,366.8999999999999
312,249,2,12,1,368.59999999999985,368.59999999999985,366.8999999999999
313,250,0,9,1,368.89999999999986,368.89999999999986,366.8999999999999
