target_day,source_replicate,FF_Mean_RL_minus_Uniform,GRU_Mean_RL_minus_Uniform,FF_CVaR_RL_minus_Uniform,GRU_CVaR_RL_minus_Uniform,GRU_minus_FF_Mean,GRU_minus_FF_CVaR
4,10,3.649224081732882,0.866920095606929,-4.411091910459561,12.018002284629631,-2.782303986125953,16.429094195089192
5,1,-0.20346539745685277,1.619601038635949,-20.3280424164775,-0.6868274423016487,1.8230664360928017,19.641214974175853
5,2,4.348647507842259,6.773927388640914,31.636222809764035,2.988709193372813,2.425279880798655,-28.647513616391223
5,3,-7.504440334234914,3.676871394756404,1.2162203819037245,6.3167327459646,11.181311728991318,5.100512364060876
5,4,-10.196733936606734,-8.890276752847626,-21.697288173664163,-21.33549117247179,1.3064571837591075,0.3617970011923717
5,5,1.974760842187493,4.793633409621918,6.893501006359884,1.553961655735975,2.8188725674344255,-5.339539350623909
5,6,-4.7593001029162565,0.0,-1.0115917070904175,-3.1795929403297123,4.7593001029162565,-2.168001233239295
5,7,7.107414215660583,5.694031531005805,-2.846307152397287,4.795379705115863,-1.4133826846547777,7.64168685751315
5,8,14.639402427209745,4.0307339762168795,34.980327343754595,35.45564339857714,-10.608668450992866,0.47531605482254236
5,9,6.227235461865405,5.2389685325829305,9.417792881777132,-8.561792001795823,-0.9882669292824744,-17.979584883572954
5,10,-3.1155037121534406,-5.874358613640993,-4.403720355184987,-35.02478908558072,-2.7588549014875525,-30.621068730395734
6,1,-2.847588326800576,-3.4585664886467953,20.49527102537786,51.34839608899455,-0.6109781618462193,30.853125063616687
6,2,-8.22753809282932,-2.2697030352966294,-4.309807016989282,-37.884664972693315,5.957835057532691,-33.57485795570403
6,3,10.2031921864085,11.589876411380601,-8.907598365468857,-18.03926287864931,1.3866842249721003,-9.131664513180453
6,4,5.903882545217584,9.302448303745962,18.12327591426191,22.87367069843168,3.3985657585283775,4.750394784169771
6,5,1.5912841610270334,-3.7140587912345495,9.564766987794428,0.5022783961267692,-5.305342952261583,-9.062488591667659
6,6,-2.139289391542718,-6.3096295123366986,6.526296447351228,-8.256436921693648,-4.1703401207939805,-14.782733369044877
6,7,12.724695228993426,4.704368789727027,12.038828917614921,-19.987539457604214,-8.020326439266398,-32.026368375219135
6,8,-2.1786313845910854,-5.133553010026844,39.63072406189332,19.608094438514172,-2.954921625435759,-20.022629623379146
6,9,0.5606378027113692,3.8738156675282767,-2.256015800163425,4.542808644085767,3.3131778648169075,6.798824444249192
6,10,-3.0100021831813706,0.05200665285786954,-13.915698288735484,-24.794414705956115,3.06200883603924,-10.87871641722063
7,1,-0.632302988102083,1.4640154036606532,7.4713948672593915,-11.22369022734216,2.096318391762736,-18.695085094601552
7,2,1.7318469465439534,-0.7139034756337423,45.547799317657734,46.2924631214176,-2.445750422177696,0.7446638037598632
7,3,3.2890087143574647,0.5946761999976502,23.37482377680095,15.579098898100654,-2.6943325143598145,-7.795724878700298
7,4,0.11566478338664865,-0.2231118977172173,-25.696049955098317,-70.25294862134734,-0.33877668110386594,-44.556898666249026
7,5,0.02908879631200989,0.0,-31.859129522675175,5.434038983946664,-0.02908879631200989,37.29316850662184
