target_day,method,distance_km,tard_mean,tard_cvar95,on_time_mean,J_aligned,search_runtime_s
8,RL-FF-CVaR,445.93,4.9460085889990335,25.375582406415116,0.988304054054054,496.6811648128302,26.519999000100505
8,RL-FF-Mean,439.76000000000005,6.2566290728911085,32.624804439407214,0.9848472972972973,452.2732581457823,34.0465787666988
8,RL-GRU-CVaR,443.73000000000013,5.27462509246343,27.509743201110275,0.9865094594594594,498.74948640222067,30.382483350000257
8,RL-GRU-Mean,439.55000000000007,6.64245054935391,34.48902209586559,0.9841094594594594,452.8349010987078,34.06460162099902
8,Uniform-CVaR,443.82000000000005,4.959331859059526,27.445571323663536,0.9875067567567568,498.71114264732716,26.20449636240155
8,Uniform-Mean,440.07000000000005,6.941226362152149,40.977966162650624,0.9824391891891893,453.9524527243044,33.94252206670062
9,RL-FF-CVaR,437.10999999999996,4.8532294178181274,26.11818267794691,0.9878738095238095,489.3463653558938,28.195133037500636
9,RL-FF-Mean,428.16999999999996,5.90039969484081,32.07789206861636,0.9844892857142856,439.97079938968164,33.327498070699946
9,RL-GRU-CVaR,436.85,4.816309461865379,27.848557562733625,0.9878988095238095,492.54711512546726,29.423770404099923
9,RL-GRU-Mean,429.9200000000001,4.996093048852475,28.499065549420116,0.9866761904761905,439.91218609770493,31.887212416601688
9,Uniform-CVaR,436.38,5.122492780912522,27.05566335727413,0.9867178571428571,490.4913267145483,31.975371682999686
9,Uniform-Mean,430.56000000000006,5.992765070034383,32.541368133601466,0.9847630952380951,442.54553014006876,32.06107301230077
