run_id,day,replicate,path_index,attempt_index,episode_id,vehicle_id,omi,remaining_customers,route_changed,search_gain,incumbent_search_score,selected_search_score,evaluated_candidates,operator_decisions,null_proposals,scenario_evals,recourse_runtime_s,decision_cap_hit,next_node_changed
D02_R02_P007,2,2,7,1,1,5,0.9247156510245462,10,False,0.0,85.45269497753225,85.45269497753225,250,8614,8364,25100,3.6170200830092654,False,False
D02_R02_P007,2,2,7,2,1,1,0.8382800425475601,11,False,0.0,60.2,60.2,0,25000,25000,100,9.98699950001901,True,False
D02_R02_P008,2,2,8,1,1,4,0.7958504300876816,16,False,0.0,86.2273010398023,86.2273010398023,250,1275,1025,25100,2.331205625028815,False,False
D02_R02_P009,2,2,9,1,1,4,0.9828985036945951,12,False,0.0,67.7,67.7,250,1556,1306,25100,1.5428040829719976,False,False
D02_R02_P009,2,2,9,2,1,2,0.7844311641792873,10,True,3.5270326433054677,47.62703264330546,44.099999999999994,250,2001,1751,25100,1.4027365410001948,False,False
D02_R02_P009,2,2,9,3,2,1,0.9456615055929644,9,False,0.0,48.4,48.4,0,25000,25000,100,7.226106124988291,True,False
D02_R02_P009,2,2,9,4,2,0,0.6576004151983257,3,False,0.0,22.700000000000003,22.700000000000003,0,25000,25000,100,1.9123466659802943,True,False
D02_R02_P009,2,2,9,5,3,1,0.734883077523196,6,False,0.0,45.2059082571664,45.2059082571664,0,25000,25000,100,4.066513167053927,True,False
D02_R02_P009,2,2,9,6,3,4,0.7199952437538887,3,False,0.0,45.1,45.1,0,25000,25000,100,1.90021308301948,True,False
D02_R02_P010,2,2,10,1,1,4,0.8978016995984885,15,False,0.0,80.48916926573649,80.48916926573649,250,1431,1181,25100,2.1786602909560315,False,False
D02_R02_P010,2,2,10,2,2,4,0.9161289595425012,12,False,0.0,67.7,67.7,250,1752,1502,25100,1.62954237498343,False,False
D02_R02_P010,2,2,10,3,2,2,0.868557608525235,10,False,0.0,43.34436226801331,43.34436226801331,250,4574,4324,25100,2.3296104589826427,False,False
D02_R02_P010,2,2,10,4,2,5,0.6365549801213177,6,False,0.0,59.1,59.1,250,1600,1350,25100,0.7513441669871099,False,False
D02_R02_P010,2,2,10,5,3,4,0.963233700311635,6,False,0.0,57.8,57.8,250,746,496,25100,0.6142041250132024,False,False
D02_R02_P010,2,2,10,6,3,2,0.9532935146230817,6,False,0.0,35.85705312481309,35.85705312481309,0,25000,25000,100,4.251974416023586,True,False
