day,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time
5,20,8150020,f3874d035ba465cfa1248e0b5c37618966f58a822df3e2b4646282787adb5e29,405.0666666666666,405.29999999999995,0.9253480334356633,0.9253480334356633,406.9173627335379,407.15069606687126,0.9955555555555556,0.9955555555555556,0.9253480334356633,0.9253480334356633,-0.23333333333332953,0.0,-0.23333333333332953,0.0,0.0
7,1,8170001,62eea306b95884f47782f1acd330a2ccbcd44533e84688373e56774acb16fc04,371.8,372.2,2.31099673089138,2.31099673089138,376.42199346178273,376.82199346178277,0.9949494949494949,0.9949494949494949,2.31099673089138,2.31099673089138,-0.39999999999997726,0.0,-0.39999999999997726,0.0,0.0
7,2,8170002,f8c0202506739fd349e247c83d5e4cf66515c8af2369e2d5e2559cc2afd43421,371.8,372.6666666666667,8.412591807912738,7.560379153575667,388.6251836158255,387.7874249738181,0.9595959595959597,0.9646464646464646,4.841485545893609,4.841001386310343,-0.8666666666666742,0.8522126543370708,0.8377586420074673,0.00048415958326586406,0.005050505050505046
7,3,8170003,abba81fd9f6c27b894cc9b1e66ceb2d1754e19803071cc841db50b1ba6818a21,371.8,371.8333333333333,3.604722273672934,3.604722273672934,379.00944454734594,379.04277788067924,0.9949494949494949,0.9949494949494949,3.604722273672934,3.604722273672934,-0.03333333333332197,0.0,-0.03333333333332197,0.0,0.0
7,4,8170004,ad1906a6a46c7ded6aec3cd85f6e93045e41c1a4cb645292701a430375ab3921,371.8,373.70000000000005,0.0,0.0,371.8,373.70000000000005,1.0,1.0,0.0,0.0,-1.900000000000034,0.0,-1.900000000000034,0.0,0.0
7,5,8170005,538b28f5f3e957b3c2e63529361f2adff89bcae61fcc82c1a10ff0ebf05379ba,371.8,372.1333333333334,8.200067541338399,0.0,388.2001350826768,372.1333333333334,0.98989898989899,1.0,7.93315763169566,0.0,-0.3333333333333144,8.200067541338399,16.066801749343483,7.93315763169566,0.010101010101010091
7,6,8170006,df6c5a6c7cb94f7be329e910508d1d6ede933a24c04540c912a89a3a88bef9bc,371.8,372.8,1.0473030154672642,0.0,373.89460603093454,372.8,0.9949494949494949,1.0,1.0473030154672642,0.0,-1.0,1.0473030154672642,1.0946060309345285,1.0473030154672642,0.005050505050505046
7,7,8170007,a6d6acd25e623549c7c4ce588c2f682488385c5453798804d09152e6ea3b7741,371.8,371.8333333333333,2.537298874670815,2.537298874670815,376.8745977493416,376.907931082675,0.9949494949494949,0.9949494949494949,2.537298874670815,2.537298874670815,-0.03333333333332197,0.0,-0.03333333333332197,0.0,0.0
7,8,8170008,c59b9a87980e1510207ac500428332f4011962522891a761d9626c3aa74ce7ad,371.8,371.8,1.048427697446698,1.048427697446698,373.89685539489346,373.89685539489346,0.98989898989899,0.98989898989899,1.048427697446698,1.048427697446698,0.0,0.0,0.0,0.0,0.0
7,9,8170009,4e4275fd3d870550835f0fd30cc267a14014a712261f8f00d989f58ba71be43d,371.8,372.8333333333333,5.914232486409721,6.77987273267765,383.6284649728195,386.3930787986887,0.9797979797979798,0.9747474747474748,5.142104077726505,5.142104077726505,-1.033333333333322,-0.8656402462679296,-2.7646138258691813,0.0,-0.005050505050505046
