run_id,day,replicate,path_index,realized_seed,realized_path_hash,static_distance,dddas_distance,static_tardiness,dddas_tardiness,static_J,dddas_J,static_on_time,dddas_on_time,static_max_tardiness,dddas_max_tardiness,delta_distance,delta_tardiness,delta_J,delta_max_tardiness,delta_on_time,episodes,recourse_attempts,route_changes,evaluated_candidates,operator_decisions,null_proposals,decision_cap_terminations,scenario_evaluations,dddas_wall_seconds
D02_R02_P006,2,2,6,8120006,71000c5bdaf83b50745e7d5449012b3ddfe0b32c63179b3a3ed10c8ca1e9e4b3,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,25000,25000,1,100,5.190568208985496
D02_R02_P007,2,2,7,8120007,332a56b84537d3673053f122d945590380655fa7443444cde1d44d0de7a47b36,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,250,33614,33364,1,25200,14.019747457990889
D02_R02_P008,2,2,8,8120008,6822322d1fe03cb6532e64fc4632a8b959cbdf5db7c45313088c8a65a5a9392f,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,250,1275,1025,0,25100,2.542745625018142
D02_R02_P009,2,2,9,8120009,c333a44c14147c13551765947e97afcbd6a88ed65a6e7cbcf06049f0ab16fa26,420.50000000000006,421.9000000000001,0.0,0.0,420.50000000000006,421.9000000000001,1.0,1.0,0.0,0.0,-1.400000000000034,0.0,-1.400000000000034,0.0,0.0,3,6,1,500,103557,103057,4,50600,19.291904458019417
D02_R02_P010,2,2,10,8120010,8eb0516fccccf9345cff7009dc67716ba61e4ca96b543d9fc4d81c2d37eadb21,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0,1250,60103,58853,2,125700,15.783147167006973
D02_R02_P011,2,2,11,8120011,b059eec811b126054a24425505c98919856e3b7ee1841e3a0c9c7e6961464445,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0004801659961231053
D02_R02_P012,2,2,12,8120012,efe5c2da9f201ded4bd14ca4cf3cf206dcd72d0f3c12d6aab2ca746f2688d1e8,420.50000000000006,422.30000000000007,0.0,0.0,420.50000000000006,422.30000000000007,1.0,1.0,0.0,0.0,-1.8000000000000114,0.0,-1.8000000000000114,0.0,0.0,2,3,2,500,29921,29421,1,50300,6.004139166965615
D02_R02_P013,2,2,13,8120013,324fece089e812b825f604da8acc6c3244e1b6ea6cd922dcbc251efc547b5dbd,420.50000000000006,420.70000000000005,0.0,0.0,420.50000000000006,420.70000000000005,1.0,1.0,0.0,0.0,-0.19999999999998863,0.0,-0.19999999999998863,0.0,0.0,1,4,1,750,32525,31775,1,75400,13.27352016698569
D02_R02_P014,2,2,14,8120014,0d6ea09962ee6a33acdd10932927b5b49e47047771db366e0c2277b2b9f3a490,420.50000000000006,420.70000000000005,0.0,0.0,420.50000000000006,420.70000000000005,1.0,1.0,0.0,0.0,-0.19999999999998863,0.0,-0.19999999999998863,0.0,0.0,1,2,1,500,6909,6409,0,50200,3.1457242500036955
D02_R02_P015,2,2,15,8120015,0b4dccabd952755cdbf8cbd741364377dccf1455a4227ccc68c024b7d78c43f5,420.50000000000006,420.50000000000006,0.0,0.0,420.50000000000006,420.50000000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,250,51417,51167,2,25300,9.705375624995213
