run_id,day,replicate,path_index,attempt_index,evaluated_candidates,operator_decisions,null_proposals,scenario_evaluations,recourse_runtime_s,decision_cap_hit
D05_R02_P002,5,2,2,2,0,25000,25000,100,1.9254706670180894,True
D05_R02_P002,5,2,2,3,0,25000,25000,100,1.4132518750266172,True
D05_R02_P003,5,2,3,1,250,10346,10096,25100,2.6063148750108667,False
D05_R02_P003,5,2,3,2,0,25000,25000,100,4.111323709017597,True
D05_R02_P003,5,2,3,3,0,25000,25000,100,3.2617099590133876,True
D05_R02_P003,5,2,3,4,250,3139,2889,25100,1.1814343329751864,False
D05_R02_P003,5,2,3,5,250,629,379,25100,0.34318116697249934,False
D05_R02_P003,5,2,3,6,0,25000,25000,100,1.3922879999736324,True
D05_R02_P004,5,2,4,1,0,25000,25000,100,4.1397445410257205,True
D05_R02_P004,5,2,4,2,250,7788,7538,25100,4.9424452079692855,False
D05_R02_P004,5,2,4,3,0,25000,25000,100,6.113796292047482,True
D05_R02_P004,5,2,4,4,0,25000,25000,100,1.9251989590120502,True
D05_R02_P004,5,2,4,5,0,25000,25000,100,4.13204879197292,True
D05_R02_P004,5,2,4,6,250,8098,7848,25100,1.4818677080329508,False
D05_R02_P004,5,2,4,7,0,25000,25000,100,2.5318869579932652,True
D05_R02_P004,5,2,4,8,0,25000,25000,100,1.387853708001785,True
D05_R02_P004,5,2,4,9,250,722,472,25100,0.35822225001174957,False
D05_R02_P005,5,2,5,1,0,25000,25000,100,1.9387624580413103,True
D05_R02_P006,5,2,6,1,250,17867,17617,25100,12.477297167002689,False
D05_R02_P006,5,2,6,2,250,688,438,25100,0.3535405420116149,False
D05_R02_P008,5,2,8,1,0,25000,25000,100,3.2636073749745265,True
D05_R02_P008,5,2,8,2,250,2039,1789,25100,0.8211550830164924,False
D05_R02_P008,5,2,8,3,0,25000,25000,100,2.5297714170301333,True
D05_R02_P008,5,2,8,4,0,25000,25000,100,3.241277374967467,True
D05_R02_P009,5,2,9,1,250,1434,1184,25100,1.0831809579976834,False
D05_R02_P011,5,2,11,1,29,25000,24971,3000,20.731322082981933,True
D05_R02_P012,5,2,12,1,250,5067,4817,25100,2.4734362079761922,False
D05_R02_P012,5,2,12,2,0,25000,25000,100,11.320774958003312,True
D05_R02_P012,5,2,12,3,250,5414,5164,25100,1.6543754169833846,False
D05_R02_P012,5,2,12,4,0,25000,25000,100,4.13400445895968,True
D05_R02_P012,5,2,12,5,0,25000,25000,100,3.263613792019896,True
D05_R02_P012,5,2,12,6,0,25000,25000,100,10.194955707993358,True
D05_R02_P012,5,2,12,7,250,2534,2284,25100,1.0600838750251569,False
D05_R02_P012,5,2,12,8,250,1726,1476,25100,0.6419111249851994,False
D05_R02_P012,5,2,12,9,0,25000,25000,100,1.925843957986217,True
D05_R02_P015,5,2,15,1,250,6101,5851,25100,2.837561291991733,False
D05_R02_P015,5,2,15,2,0,25000,25000,100,1.9363366659963503,True
D05_R02_P015,5,2,15,3,250,5217,4967,25100,1.5961391659802757,False
D05_R02_P015,5,2,15,4,250,2654,2404,25100,1.08382633398287,False
D05_R02_P017,5,2,17,1,250,8842,8592,25100,4.856931791990064,False
D05_R02_P017,5,2,17,2,0,25000,25000,100,9.88203808304388,True
D05_R02_P017,5,2,17,3,250,12940,12690,25100,4.276940916955937,False
D05_R02_P017,5,2,17,4,0,25000,25000,100,5.05156008398626,True
D05_R02_P018,5,2,18,1,250,3138,2888,25100,1.7794801659765653,False
D05_R02_P018,5,2,18,2,0,25000,25000,100,6.049861082981806,True
D05_R02_P018,5,2,18,3,16,25000,24984,1700,16.09069758298574,True
D05_R02_P018,5,2,18,4,0,25000,25000,100,6.140804708003998,True
D05_R02_P018,5,2,18,5,0,25000,25000,100,12.865546833025292,True
D05_R02_P018,5,2,18,6,250,6109,5859,25100,3.2424562919768505,False
D05_R02_P018,5,2,18,7,0,25000,25000,100,3.230189749971032,True
D05_R02_P018,5,2,18,8,250,4926,4676,25100,2.090594000008423,False
D05_R02_P018,5,2,18,9,0,25000,25000,100,9.936093707976397,True
D05_R02_P018,5,2,18,10,0,25000,25000,100,8.472723541024607,True
D05_R02_P018,5,2,18,11,0,25000,25000,100,2.5228656249819323,True
D05_R02_P019,5,2,19,1,250,6623,6373,25100,3.3949914170079865,False
D05_R02_P019,5,2,19,2,0,25000,25000,100,7.183104291965719,True
D05_R02_P019,5,2,19,3,0,25000,25000,100,3.251198416983243,True
D05_R02_P019,5,2,19,4,0,25000,25000,100,12.900592666002922,True
D05_R02_P019,5,2,19,5,0,25000,25000,100,1.9368402090040036,True
D05_R02_P019,5,2,19,6,0,25000,25000,100,1.8959620000096038,True
D05_R02_P020,5,2,20,1,0,25000,25000,100,6.0539309160085395,True
D05_R02_P020,5,2,20,2,250,7099,6849,25100,1.350247957976535,False
D05_R02_P020,5,2,20,3,0,25000,25000,100,1.3808557500015013,True
D05_R02_P020,5,2,20,4,0,25000,25000,100,3.2439614579780027,True
D05_R02_P020,5,2,20,5,250,2097,1847,25100,0.8242648330051452,False
D05_R03_P001,5,3,1,1,250,1481,1231,25100,0.9680215830449015,False
D05_R03_P001,5,3,1,2,250,5731,5481,25100,1.7087080420460552,False
D05_R03_P001,5,3,1,3,0,25000,25000,100,1.3964643330546096,True
D05_R03_P002,5,3,2,1,250,1493,1243,25100,1.9239260840113275,False
D05_R03_P002,5,3,2,2,0,25000,25000,100,1.9247011659899727,True
D05_R03_P002,5,3,2,3,250,1078,828,25100,0.4724914589896798,False
D05_R03_P002,5,3,2,4,0,25000,25000,100,1.405013167008292,True
D05_R03_P003,5,3,3,1,250,1447,1197,25100,0.9629177080350928,False
D05_R03_P003,5,3,3,2,0,25000,25000,100,1.3929720420273952,True
D05_R03_P003,5,3,3,3,0,25000,25000,100,3.2692074590013362,True
D05_R03_P004,5,3,4,1,203,25000,24797,20400,9.16134404198965,True
D05_R03_P004,5,3,4,2,0,25000,25000,100,5.053974040958565,True
D05_R03_P004,5,3,4,3,250,2390,2140,25100,1.5500870830146596,False
D05_R03_P004,5,3,4,4,250,2827,2577,25100,1.29319083399605,False
D05_R03_P004,5,3,4,5,250,11035,10785,25100,2.3114777919836342,False
D05_R03_P004,5,3,4,6,250,7441,7191,25100,1.4032894170377403,False
D05_R03_P005,5,3,5,1,250,3438,3188,25100,1.9298737499630079,False
D05_R03_P005,5,3,5,2,250,283,33,25100,0.45416254200972617,False
D05_R03_P005,5,3,5,3,250,1032,782,25100,0.48747604194795713,False
D05_R03_P005,5,3,5,4,0,25000,25000,100,1.397277457988821,True
D05_R03_P006,5,3,6,1,129,25000,24871,13000,11.827072540996596,True
D05_R03_P006,5,3,6,2,0,25000,25000,100,1.38447529199766,True
D05_R03_P007,5,3,7,1,250,6772,6522,25100,1.3187223330023699,False
D05_R03_P008,5,3,8,1,0,25000,25000,100,1.400376999983564,True
D05_R03_P008,5,3,8,2,250,2703,2453,25100,1.447917957964819,False
D05_R03_P008,5,3,8,3,250,2327,2077,25100,1.345346374961082,False
D05_R03_P008,5,3,8,4,250,3330,3080,25100,1.224773333990015,False
D05_R03_P008,5,3,8,5,0,25000,25000,100,2.5328766659949906,True
D05_R03_P008,5,3,8,6,250,11484,11234,25100,2.3736936660134234,False
D05_R03_P009,5,3,9,1,250,414,164,25100,0.7764895419823006,False
D05_R03_P009,5,3,9,2,250,2241,1991,25100,0.8614227919606492,False
D05_R03_P011,5,3,11,1,250,1981,1731,25100,3.9832090829731897,False
D05_R03_P012,5,3,12,1,0,25000,25000,100,1.9214734580018558,True
D05_R03_P012,5,3,12,2,250,1904,1654,25100,2.1708639999851584,False
D05_R03_P012,5,3,12,3,0,25000,25000,100,5.119527459028177,True
D05_R03_P012,5,3,12,4,0,25000,25000,100,1.3960242090397514,True
D05_R03_P012,5,3,12,5,250,2550,2300,25100,2.218124417006038,False
D05_R03_P012,5,3,12,6,0,25000,25000,100,3.263659790973179,True
D05_R03_P012,5,3,12,7,250,3382,3132,25100,0.8642206250224262,False
D05_R03_P012,5,3,12,8,0,25000,25000,100,1.9086579579743557,True
D05_R03_P013,5,3,13,1,250,3556,3306,25100,2.7551220419700257,False
D05_R03_P013,5,3,13,2,250,1338,1088,25100,1.045890084002167,False
D05_R03_P013,5,3,13,3,130,25000,24870,13100,11.854885875014588,True
D05_R03_P014,5,3,14,1,250,400,150,25100,0.772108290984761,False
D05_R03_P015,5,3,15,1,250,396,146,25100,0.7832410000264645,False
D05_R03_P015,5,3,15,2,250,2531,2281,25100,2.5625193340238184,False
D05_R03_P015,5,3,15,3,0,25000,25000,100,1.9264317919733003,True
D05_R03_P015,5,3,15,4,0,25000,25000,100,3.3071707080234773,True
D05_R03_P017,5,3,17,1,250,1506,1256,25100,1.3763816669816151,False
D05_R03_P017,5,3,17,2,250,1508,1258,25100,0.9573077919776551,False
D05_R03_P017,5,3,17,3,0,25000,25000,100,5.049303042003885,True
D05_R03_P017,5,3,17,4,250,2337,2087,25100,2.12031379097607,False
D05_R03_P018,5,3,18,1,250,2392,2142,25100,1.0314563330030069,False
D05_R03_P018,5,3,18,2,250,410,160,25100,0.8499304589931853,False
D05_R03_P018,5,3,18,3,0,25000,25000,100,4.083915541006718,True
D05_R03_P018,5,3,18,4,204,25000,24796,20500,7.898099749989342,True
D05_R03_P018,5,3,18,5,250,3467,3217,25100,3.798050959012471,False
D05_R03_P018,5,3,18,6,250,1442,1192,25100,1.6301869580056518,False
D05_R03_P018,5,3,18,7,250,3780,3530,25100,2.2968811669852585,False
D05_R03_P018,5,3,18,8,0,25000,25000,100,5.0251502500032075,True
D05_R03_P019,5,3,19,1,250,2213,1963,25100,2.8102443749667145,False
D05_R03_P019,5,3,19,2,250,18704,18454,25100,5.196720457985066,False
D05_R03_P019,5,3,19,3,250,1123,873,25100,0.47852845798479393,False
D05_R03_P019,5,3,19,4,250,1852,1602,25100,0.651943749981001,False
D05_R03_P020,5,3,20,1,250,1856,1606,25100,1.3499760419945233,False
D05_R03_P020,5,3,20,2,250,11313,11063,25100,2.3405671659857035,False
D05_R03_P020,5,3,20,3,0,25000,25000,100,2.513012500014156,True
D05_R03_P020,5,3,20,4,0,25000,25000,100,1.3945847080321983,True
D07_R01_P001,7,1,1,1,250,1448,1198,25100,1.0812625419930555,False
D07_R01_P002,7,1,2,1,250,443,193,25100,0.6272540839854628,False
D07_R01_P002,7,1,2,2,250,4806,4556,25100,1.7429388749878854,False
D07_R01_P002,7,1,2,3,250,3458,3208,25100,1.0604816669947468,False
D07_R01_P002,7,1,2,4,0,25000,25000,100,4.103961415996309,True
D07_R01_P002,7,1,2,5,250,1573,1323,25100,0.5254691250156611,False
D07_R01_P002,7,1,2,6,0,25000,25000,100,1.3891109579708427,True
D07_R01_P002,7,1,2,7,250,3638,3388,25100,1.0878336249734275,False
