day,replicate,method,n_customers,horizon_min,seed_search,seed_test,seed_algorithm,hawkes_mu,hawkes_beta,hawkes_eta,kappa,distance_km,nominal_tardiness_min,tard_mean,tard_std,tard_var95,tard_cvar95,on_time_mean,max_tard_mean,omi_exposure_mean,omi_exposure_max,route_sampled_multiplier_mean,J_mean_test,J_cvar_test,search_scenario_evals,search_evaluated_candidates,search_operator_decisions,search_null_proposals,search_runtime_s,external_wall_s
2,1,ALNS-Mean,63,534.4851102574896,1143001,1144001,1152001,0.01,0.6,0.35,0.9,419.00000000000006,0.0,0.5424534121290345,1.4960625763826216,3.957697842613072,5.953902350791557,0.9965714285714286,0.5390674657782624,0.0542991111119498,0.8533884790685591,1.048869200000755,420.0849068242581,430.9078047015832,25100,250,322,72,22.098757791995013,22.135776208000607
2,1,ALNS-CVaR,63,534.4851102574896,1143001,1144001,1153001,0.01,0.6,0.35,0.9,417.60000000000014,0.0,0.2178380103298967,1.079889595886164,1.2366841055539908,3.704914196678516,0.9982063492063492,0.2013117313234389,0.0529463727020235,0.8422108407240887,1.047651735431821,418.03567602065993,425.0098283933572,25100,250,320,70,22.56121166700177,22.59481420800148
2,2,OR-Tools,63,534.4851102574896,1243001,1244001,0,0.01,0.6,0.35,0.9,410.5000000000001,0.0,7.63443829836208,10.096536813683358,30.056247398247763,39.886626361326336,0.977920634920635,5.308248702866453,0.0526209253308454,0.8318417641040768,1.047358832797761,425.7688765967243,490.2732527226528,0,0,0,0,0.0,0.0
2,2,ALNS-Mean,63,534.4851102574896,1243001,1244001,1252001,0.01,0.6,0.35,0.9,415.6000000000001,0.0,0.7268338963984847,2.6619420854844407,4.329259870506405,10.25510007999146,0.9963492063492064,0.6641960474395315,0.0533123826588545,0.838557638568936,1.0479811443929692,417.05366779279706,436.110200159983,25100,250,365,115,25.569330708000052,25.606356625001354
2,2,ALNS-CVaR,63,534.4851102574896,1243001,1244001,1253001,0.01,0.6,0.35,0.9,420.5000000000001,0.0,0.2170902130794774,1.0689218385892645,1.2758123039369025,3.7730229180482593,0.9984285714285714,0.2043967033900365,0.0524872099272142,0.8291950164618825,1.0472384889344928,420.93418042615906,428.04604583609665,25100,250,261,11,15.545621500001287,15.579789625000558
2,3,OR-Tools,63,534.4851102574896,1343001,1344001,0,0.01,0.6,0.35,0.9,410.5000000000001,0.0,8.154729860785157,10.109748326415744,30.11864985074351,40.870402623188,0.9764603174603176,5.682204391575948,0.053465874120821,0.847431593794875,1.048119286708739,426.8094597215704,492.2408052463761,0,0,0,0,0.0,0.0
2,3,ALNS-Mean,63,534.4851102574896,1343001,1344001,1352001,0.01,0.6,0.35,0.9,409.3000000000002,0.0,2.91759569575094,3.8556834447816426,11.153769332989183,14.241632576987149,0.9814444444444445,2.3304566407060383,0.0539749127142188,0.8482645226130832,1.048577421442797,415.1351913915021,437.78326515397447,25100,250,366,116,26.823435124999374,26.861233583003923
2,3,ALNS-CVaR,63,534.4851102574896,1343001,1344001,1353001,0.01,0.6,0.35,0.9,415.49999999999994,0.0,0.6831507843302772,3.0898439816972285,3.4828361045907172,10.682059564628616,0.9964285714285716,0.4883745351456108,0.0543469744601421,0.8414206868223837,1.048912277014128,416.8663015686605,436.8641191292572,25100,250,272,22,17.70851437500096,17.743483083002502
3,1,OR-Tools,67,536.5028574350517,2143001,2144001,0,0.01,0.6,0.35,0.9,396.3999999999998,0.0,4.66955732697257,5.541549035104163,15.953138266524547,22.53688779757205,0.984507462686567,4.177175566186921,0.0529766413423002,0.8518883460693325,1.0476789772080704,405.73911465394497,441.4737755951439,0,0,0,0,0.0,0.0
3,1,ALNS-Mean,67,536.5028574350517,2143001,2144001,2152001,0.01,0.6,0.35,0.9,397.19999999999976,0.0,0.9860321634036302,2.7841260188791885,6.326728658096215,11.113615699172732,0.9956716417910448,0.8634808841961612,0.0528988551479641,0.8420849661227205,1.047608969633168,399.172064326807,419.4272313983452,25100,250,294,44,22.307325000001583,22.347384083004727
3,1,ALNS-CVaR,67,536.5028574350517,2143001,2144001,2153001,0.01,0.6,0.35,0.9,397.19999999999976,0.0,0.9860321634036302,2.7841260188791885,6.326728658096215,11.113615699172732,0.9956716417910448,0.8634808841961612,0.0528988551479641,0.8420849661227205,1.047608969633168,399.172064326807,419.4272313983452,25100,250,271,21,19.7443553750054,19.780381792006665
3,2,OR-Tools,67,536.5028574350517,2243001,2244001,0,0.01,0.6,0.35,0.9,396.3999999999998,0.0,4.571906157357795,6.018370673517657,15.945176302245898,24.327172359528618,0.9847164179104476,4.080721249911571,0.0514907534997476,0.8480004809390941,1.046341678149773,405.5438123147154,445.05434471905704,0,0,0,0,0.0,0.0
3,2,ALNS-Mean,67,536.5028574350517,2243001,2244001,2252001,0.01,0.6,0.35,0.9,396.8999999999998,0.0,1.0220709289971552,4.852439629178776,5.168626668508125,16.597355434954462,0.9970746268656716,0.7986987803271354,0.0513757738993143,0.8260943065211059,1.046238196509383,398.9441418579941,430.09471086990874,25100,250,280,30,20.30456629100081,20.34387995799625
3,2,ALNS-CVaR,67,536.5028574350517,2243001,2244001,2253001,0.01,0.6,0.35,0.9,397.19999999999976,0.0,0.941230375503744,3.3819191468841834,5.6391047350838335,11.897617147857945,0.9957611940298506,0.8054521461887003,0.0513956220102735,0.8434110447680904,1.0462560598092463,399.08246075100726,420.9952342957157,25100,250,279,29,19.594676749999053,19.630207999995037
3,3,OR-Tools,67,536.5028574350517,2343001,2344001,0,0.01,0.6,0.35,0.9,396.3999999999998,0.0,4.884763865658365,5.7857949490333995,17.86488728276356,23.148406707577024,0.9836567164179104,4.331373588152903,0.0532220492978346,0.8618710861973912,1.0478998443680512,406.1695277313165,442.6968134151539,0,0,0,0,0.0,0.0
3,3,ALNS-Mean,67,536.5028574350517,2343001,2344001,2352001,0.01,0.6,0.35,0.9,397.79999999999984,0.0,1.1180496886114588,5.73356611462411,5.785387806264737,17.57617406494507,0.9971194029850744,0.8986042093900825,0.0535117575933008,0.8300262681403551,1.0481605818339708,400.03609937722274,432.95234812989,25100,250,278,28,20.127091916998324,20.165174458001275
3,3,ALNS-CVaR,67,536.5028574350517,2343001,2344001,2353001,0.01,0.6,0.35,0.9,400.8999999999999,0.0,1.0487712522611832,5.679399962088695,5.50179462208169,17.827963322608113,0.997641791044776,0.8332224105788542,0.0540074642631268,0.8418603448529296,1.048606717836814,402.9975425045223,436.5559266452161,25100,250,269,19,18.48867537499609,18.52438770900335
4,1,OR-Tools,69,538.2216824141062,3143001,3144001,0,0.01,0.6,0.35,0.9,419.20000000000016,0.0,10.071840165653208,9.05116998757608,27.69624753953022,36.45020297980189,0.9762028985507248,7.856027576909811,0.0534936400087667,0.86427613955522,1.04814427600789,439.3436803313066,492.1004059596039,0,0,0,0,0.0,0.0
4,1,ALNS-Mean,69,538.2216824141062,3143001,3144001,3152001,0.01,0.6,0.35,0.9,423.4000000000001,0.0,2.511513862097581,4.631190282060658,12.10633809931727,17.32331830870484,0.99236231884058,2.236570924594628,0.0535413246707425,0.8686988173594146,1.0481871922036683,428.42302772419526,458.0466366174098,25100,250,302,52,25.957283791001828,25.99801691599714
4,1,ALNS-CVaR,69,538.2216824141062,3143001,3144001,3153001,0.01,0.6,0.35,0.9,435.40000000000026,0.0,0.9515858075386364,2.9516648567342063,6.7079900902923555,11.546065475101694,0.9960434782608696,0.8182120706575962,0.0535596584935644,0.8612134673180242,1.048203692644208,437.30317161507753,458.49213095020366,25100,250,301,51,25.233179082999413,25.270996292005293
4,2,OR-Tools,69,538.2216824141062,3243001,3244001,0,0.01,0.6,0.35,0.9,419.20000000000016,0.0,9.666761049142991,8.882954079908979,27.512618204463703,34.998577390810084,0.97768115942029,7.546925152298628,0.0514566682788823,0.8567269463208281,1.0463110014509942,438.53352209828614,489.1971547816203,0,0,0,0,0.0,0.0
4,2,ALNS-Mean,69,538.2216824141062,3243001,3244001,3252001,0.01,0.6,0.35,0.9,425.70000000000016,0.0,2.874860171717628,5.184129266981749,13.606297222251811,19.2483594254862,0.9911304347826088,2.448600565476862,0.0519277706532502,0.8389351132178754,1.046734993587925,431.4497203434354,464.19671885097256,25100,250,325,75,28.37252554099541,28.41262129200186
4,2,ALNS-CVaR,69,538.2216824141062,3243001,3244001,3253001,0.01,0.6,0.35,0.9,432.7000000000001,0.0,1.9534052359710077,4.282656961432036,11.213005512963036,16.56886330330567,0.9946956521739132,1.8170036251266397,0.0529389636187986,0.866431467500059,1.0476450672569189,436.60681047194214,465.83772660661145,25100,250,268,18,21.30066933300259,21.337838125000417
4,3,OR-Tools,69,538.2216824141062,3343001,3344001,0,0.01,0.6,0.35,0.9,419.20000000000016,0.0,9.976584851306658,9.812196563583257,31.46992377925835,39.242743654284304,0.9773188405797104,7.776911168289605,0.0532218142954639,0.8608594425365218,1.0478996328659176,439.15316970261347,497.6854873085688,0,0,0,0,0.0,0.0
4,3,ALNS-Mean,69,538.2216824141062,3343001,3344001,3352001,0.01,0.6,0.35,0.9,418.0000000000002,0.0,8.570484359030626,8.789358911963943,26.533782629414645,34.84430664628431,0.9819130434782612,7.305322019968428,0.0530890799093481,0.869130204265118,1.0477801719184132,435.14096871806146,487.6886132925689,25100,250,365,115,33.14345633299672,33.18353499999648
4,3,ALNS-CVaR,69,538.2216824141062,3343001,3344001,3353001,0.01,0.6,0.35,0.9,439.50000000000006,0.0,0.2912013825650378,1.6398511594544352,1.4797399419433075,5.63737253321748,0.999072463768116,0.2861010448843762,0.0536195957596232,0.8611680874765915,1.0482576361836609,440.08240276513015,450.774745066435,25100,250,268,18,19.428923291998217,19.466058582998812
5,1,OR-Tools,75,533.8831856992003,4143001,4144001,0,0.01,0.6,0.35,0.9,395.5000000000001,0.0,22.031815050601676,15.400286323205757,52.10737364733552,62.952419250009015,0.9629333333333332,11.971408379211974,0.0552283582088486,0.8655973250791232,1.0497055223879637,439.56363010120344,521.4048385000182,0,0,0,0,0.0,0.0
5,1,ALNS-Mean,75,533.8831856992003,4143001,4144001,4152001,0.01,0.6,0.35,0.9,394.8,0.0,3.8039924914860994,5.3656281368735765,15.163471099987532,21.993617621421063,0.9859466666666664,3.2256018635433494,0.0545898042351102,0.8618334653493505,1.0491308238115993,402.4079849829722,438.78723524284214,25100,250,271,21,24.649938458998804,24.69338075000269
5,1,ALNS-CVaR,75,533.8831856992003,4143001,4144001,4153001,0.01,0.6,0.35,0.9,403.00000000000006,0.0,0.8386035794315747,2.883500568207202,4.707465649371841,11.004719559676206,0.9970133333333332,0.7235848860637962,0.0546705769413663,0.8659215978818662,1.0492035192472298,404.6772071588632,425.00943911935246,25100,250,259,9,23.73630716699699,23.777093582997622
5,2,OR-Tools,75,533.8831856992003,4243001,4244001,0,0.01,0.6,0.35,0.9,395.5000000000001,0.0,21.85378987141593,16.21517764575465,53.87524013547147,66.90238580674793,0.96308,11.85192314434634,0.0551592564108557,0.8806687474166595,1.04964333076977,439.207579742832,529.304771613496,0,0,0,0,0.0,0.0
5,2,ALNS-Mean,75,533.8831856992003,4243001,4244001,4252001,0.01,0.6,0.35,0.9,396.9,0.0,1.9673348701828053,4.781150786867398,10.460504040341164,18.474921095082653,0.99476,1.7950095085956068,0.0550791877369769,0.879541807847452,1.0495712689632792,400.8346697403656,433.8498421901653,25100,250,286,36,27.373567249996995,27.418224665998423
5,2,ALNS-CVaR,75,533.8831856992003,4243001,4244001,4253001,0.01,0.6,0.35,0.9,417.20000000000016,0.0,2.062700964169854,4.28249556553667,11.722307877925118,16.81052998193533,0.9934666666666666,1.8315601993219193,0.0544408205054194,0.8724231696074819,1.0489967384548775,421.3254019283399,450.8210599638708,25100,250,268,18,23.30796816700604,23.348885958999745
5,3,OR-Tools,75,533.8831856992003,4343001,4344001,0,0.01,0.6,0.35,0.9,395.5000000000001,0.0,21.32282591502059,17.046635662075644,54.39658569386347,71.52964482895104,0.9641066666666668,11.781969211983691,0.0522257419585268,0.8620769369702541,1.047003167762674,438.1456518300413,538.5592896579021,0,0,0,0,0.0,0.0
5,3,ALNS-Mean,75,533.8831856992003,4343001,4344001,4352001,0.01,0.6,0.35,0.9,395.4,0.0,0.7457238450558771,2.770098537707016,6.40070292311708,11.708993435995492,0.9982933333333333,0.7381490449383622,0.0527333807479624,0.8590094673994482,1.0474600426731662,396.8914476901117,418.81798687199097,25100,250,272,22,26.36179574999551,26.406972208002117
5,3,ALNS-CVaR,75,533.8831856992003,4343001,4344001,4353001,0.01,0.6,0.35,0.9,395.0,0.0,0.39891438288581,2.01797684010471,2.1352569480004604,7.653223007969005,0.9990266666666666,0.3759627542094001,0.0524494790772556,0.8627956893202204,1.0472045311695302,395.7978287657716,410.3064460159381,25100,250,284,34,27.54647500000283,27.587911166003323
6,1,OR-Tools,77,527.8491041104045,5143001,5144001,0,0.01,0.6,0.35,0.9,370.7000000000001,0.0,19.447115294580588,18.93994123757821,59.19098277383972,80.38772960575898,0.95925974025974,9.371681032705276,0.0533905639310063,0.871566258819286,1.0480515075379058,409.5942305891612,531.475459211518,0,0,0,0,0.0,0.0
6,1,ALNS-Mean,77,527.8491041104045,5143001,5144001,5152001,0.01,0.6,0.35,0.9,377.9000000000001,0.0,1.847846149395736,5.080275268166449,13.441642305137862,20.300348498106636,0.9962727272727272,1.6401464285833236,0.053232608950928,0.8561775231516401,1.0479093480558352,381.5956922987915,418.5006969962134,25100,250,295,45,30.330239458002325,30.376130249998823
