decision,evaluated,operator,q,null,accepted,current_score,best_score,candidate_score
64,48,0,12,0,0,384.6811834729395,373.78950151707056,408.6433083889118
65,49,0,11,0,0,384.6811834729395,373.78950151707056,408.6433083889118
66,50,2,12,0,0,384.6811834729395,373.78950151707056,386.9737994458781
67,51,2,8,0,0,384.6811834729395,373.78950151707056,394.5768358643592
68,52,0,11,0,0,384.6811834729395,373.78950151707056,388.86384713160686
69,53,0,11,0,0,384.6811834729395,373.78950151707056,385.38118347293954
70,53,2,10,1,0,384.6811834729395,373.78950151707056,
71,53,2,12,1,0,384.6811834729395,373.78950151707056,
72,54,2,10,0,0,384.6811834729395,373.78950151707056,408.6433083889118
73,55,2,11,0,1,375.9688257631678,373.78950151707056,375.9688257631678
74,56,2,11,0,1,376.7688257631678,373.78950151707056,376.7688257631678
75,57,2,11,0,0,376.7688257631678,373.78950151707056,428.32950315597975
76,58,1,9,0,0,376.7688257631678,373.78950151707056,419.6754783852437
77,59,1,9,0,0,376.7688257631678,373.78950151707056,380.8145746223488
78,60,2,10,0,1,376.7688257631678,373.78950151707056,376.7688257631678
79,61,2,10,0,1,380.9514894218351,373.78950151707056,380.9514894218351
80,62,1,12,0,1,381.72969090595046,373.78950151707056,381.72969090595046
81,63,1,9,0,1,380.15148942183515,373.78950151707056,380.15148942183515
82,64,2,11,0,1,381.36456119303415,373.78950151707056,381.36456119303415
83,65,2,12,0,1,380.33389750945923,373.78950151707056,380.33389750945923
84,66,0,11,0,0,380.33389750945923,373.78950151707056,384.8511077348728
85,67,2,10,0,0,380.33389750945923,373.78950151707056,390.8709825388045
86,68,1,10,0,0,380.33389750945923,373.78950151707056,390.8709825388045
87,69,2,11,0,0,380.33389750945923,373.78950151707056,419.8370838799382
88,70,1,8,0,0,380.33389750945923,373.78950151707056,390.8709825388045
89,71,1,10,0,0,380.33389750945923,373.78950151707056,390.8709825388045
90,71,0,9,1,0,380.33389750945923,373.78950151707056,
91,72,0,12,0,0,380.33389750945923,373.78950151707056,390.8709825388045
92,73,2,11,0,0,380.33389750945923,373.78950151707056,402.87140881731875
93,74,2,10,0,0,380.33389750945923,373.78950151707056,390.8709825388045
94,75,0,11,0,0,380.33389750945923,373.78950151707056,392.68397427881916
95,76,2,10,0,1,397.20766994415294,373.78950151707056,397.20766994415294
96,77,0,8,0,0,397.20766994415294,373.78950151707056,444.0387800336948
97,78,0,9,0,1,384.25214792234993,373.78950151707056,384.25214792234993
98,79,2,10,0,1,383.8955150907496,373.78950151707056,383.8955150907496
99,80,0,11,0,0,383.8955150907496,373.78950151707056,396.9530238137448
100,81,0,12,0,0,383.8955150907496,373.78950151707056,391.28418634738756
101,82,2,9,0,1,384.8247333555011,373.78950151707056,384.8247333555011
102,83,1,11,0,1,382.0789890818136,373.78950151707056,382.0789890818136
