scenario_id,eta_0p00__OR-Tools,eta_0p00__ALNS-Mean,eta_0p00__ALNS-CVaR,eta_0p35__OR-Tools,eta_0p35__ALNS-Mean,eta_0p35__ALNS-CVaR,eta_0p70__OR-Tools,eta_0p70__ALNS-Mean,eta_0p70__ALNS-CVaR
126,10.693873880403316,0.0,0.5035524372056557,18.322339854913082,0.0,0.0,7.954195714340358,0.0,0.0
127,2.5349013592515064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,6.925222112036778,1.5132007774906526,1.1051700983743729,12.08729782497096,2.2190195234755947,1.0651820787305724,29.993876270101964,0.0,5.206557285955938
129,24.009497899642895,14.437329850297061,3.7074642358649044,31.310275526126475,2.781243642771045,1.46870127540015,10.465686315712816,0.0,0.0
130,0.369769286592998,0.0,0.0,6.6362205674630275,0.0,0.0,0.3473693062780683,0.0,0.0
131,13.543770751371284,4.363687027371611,5.719905931271654,21.750136974879865,5.727959627383882,0.0,9.933734786843786,0.0,0.0
132,11.727715301434841,0.0,0.2715173477375572,0.0,0.0,1.587440558854155,5.755067362551813,0.0,0.0
133,12.261152062900521,2.596372844941328,0.16092441777294653,10.307654084227408,0.0,0.0,27.434612495074276,0.0,0.0
134,0.0,0.0,0.6879139411487927,0.0,0.0,0.0,0.0,0.20899198377588846,0.20899198377588846
135,40.821767142686866,0.0,0.0,21.68775754094355,0.0,0.0,50.62433578493801,0.9410007629686277,8.119850683798518
136,2.4143883214393895,0.0,0.0,37.42900662156649,19.380167911868455,0.12097552709377624,72.80697571778796,13.151968737080892,5.485986047139903
137,6.248214652457818,0.0,0.0,2.9285818779242163,0.0,0.0,9.419632764624708,1.094326502639774,3.4445420871798262
138,10.678303917388888,9.497091580431714,3.1750420840812126,3.0220190388359924,3.0220190388359924,0.0,8.820982059539688,13.040745167968822,0.0
139,0.0,0.0,0.0,0.0,0.0,9.68650131531706,13.217915508048577,11.009105198781356,5.026479417525792
140,0.0,0.0,5.40644885566843,1.9514724963075878,1.9514724963075878,1.9177578367865635,0.0,0.0,0.0
141,2.978159467740767,0.0,1.398556755618074,2.4624010543631414,0.0,0.0,22.516038704416303,0.0,0.0
142,7.903021951122497,0.0,0.0,12.144625165707453,9.276269411356935,0.0,22.426206014218764,0.0,0.0
143,0.0,0.0,4.951207329779095,0.9187636627107736,0.9187636627107736,0.5043783806912359,15.46335889353466,0.0,0.0
144,20.135548304477766,0.0,4.119542667859548,26.781443752211572,0.0,0.0,27.646435073600912,0.0,8.122930910279479
145,52.14163588595821,0.0,1.4006943165812515,31.87730735608656,0.0,0.0,17.644822455547825,0.0,0.0
146,20.91386935653776,0.0,0.621130370668368,35.04581567080393,0.0,0.0,0.0,0.0,0.0
147,23.17722678339061,0.0,0.14044020848285754,32.60412995860597,0.0,0.0,22.84476758552563,0.0,0.0
148,6.105193582057609,0.0,0.0,0.7293818287589886,0.0,0.0,13.008290218918688,0.0,3.0692680127845335
149,8.568658655607038,0.0,0.0,6.154099502714104,0.0,0.8622570140819334,8.139043100326973,0.0,6.729151106016417
150,0.9917729723113098,0.9917729723113098,8.056103006558885,2.5628437136349476,0.0,1.5939895497284056,0.0,0.0,0.0
151,0.0,0.0,0.03320008422332421,0.0,0.0,0.0,1.4264773073226706,0.0,0.0
152,0.0,0.0,0.41998243774838784,0.0,0.0,0.0,0.0,0.0,0.0
153,11.767698005424535,0.0,0.0,6.599677187402989,0.0,0.0,5.039470703182843,0.0,0.0
154,7.063061926769166,0.0,0.0,6.391579876299147,0.0,0.0,6.4427771083805965,0.0,0.0
155,14.37078298114875,0.0,1.6519633016762896,26.674736518132164,0.0,0.0,14.524891625459475,0.0,0.0
156,1.630021169168856,1.630021169168856,0.04658812511513588,55.73778246882054,55.73778246882054,0.4934242513548668,9.447530712954915,0.0,0.0
157,1.660449230983886,0.39148771012673933,0.0,15.84877866676868,0.0,0.0,1.3826444761896255,0.0,0.0
158,28.307299725566452,24.281583978520587,29.42011683299569,9.496599490554019,2.5617501867326666,5.432282797395374,82.96704872237447,7.659452950702047,0.0
159,15.824665457108381,6.350447317519382,11.680574406822188,40.696407267017065,0.0,0.0,7.499000560910787,0.0,0.0
160,16.4102169195437,3.3888070630752054,0.7477850705253104,4.428295794861526,4.428295794861526,2.6660828610454246,14.501016768148304,0.0,12.515643205185427
161,19.54452502574935,0.0,0.014556147898190375,19.54452502574935,0.0,0.0,19.54452502574935,0.0,0.0
162,27.501101839906084,0.0,0.8592399307399319,25.49132056807838,0.0,0.0,23.50193872687902,0.0,0.0
163,1.9524147903390485,0.0,0.5637268585553556,0.0,0.0,0.0,0.0,0.0,0.0
164,13.516354590601821,0.0,0.13163455853066353,10.814873460650233,1.2289608243287944,0.0,15.328863489078657,0.0,0.0
165,3.408165859966772,0.9367867471509328,0.0,4.169444358641783,3.5875360237426435,4.195640484793159,0.0,0.07615561495771317,0.07615561495771317
